CID,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Gender_Man,Gender_Woman,Card Status_Active,Card Status_Blocked by Customer,Card Status_Blocked by Easy Credit,Card Status_Lost,Card Status_Stolen,PREDICTED_CLASS
14012550,400,10.0586666666667,60.0,196.56,2.97,199.53,0,1,0,1,0,0,0,0,MiddleRisk
14012569,500,114.25,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012575,300,89.77,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,MiddleRisk
14012576,400,77.645,60.0,397.97,14.76,451.48,0,0,1,1,0,0,0,0,MiddleRisk
14012577,300,46.991,45.0,289.76,22.03,452.69,56,0,1,0,0,1,0,0,MiddleRisk
14012579,300,83.45,45.0,297.3,7.75,305.05,0,1,0,1,0,0,0,0,MiddleRisk
14012584,400,392.9,60.0,392.9,13.63,406.53,0,1,0,1,0,0,0,0,MiddleRisk
14012587,300,51.7790909090909,45.0,299.45,22.57,491.42,87,1,0,0,0,1,0,0,MiddleRisk
14012591,300,100.951333333333,45.0,299.89,11.14,340.12,0,1,0,1,0,0,0,0,MiddleRisk
14012592,300,66.0525,45.0,266.92,5.7,272.62,0,1,0,1,0,0,0,0,MiddleRisk
14012597,300,102.941818181818,45.0,294.16,21.75,435.45,56,1,0,0,0,1,0,0,MiddleRisk
14012605,400,145.8,60.0,350.95,37.83,406.08,0,1,0,1,0,0,0,0,MiddleRisk
14012607,400,39.5030769230769,60.0,210.17,5.6,215.77,0,0,1,0,1,0,0,0,MiddleRisk
14012608,400,119.0275,60.0,293.46,9.24,319.16,0,1,0,1,0,0,0,0,MiddleRisk
14012615,300,16.9754285714286,45.0,299.16,19.78,439.48,56,1,0,0,0,1,0,0,MiddleRisk
14012620,300,32.1085714285714,45.0,297.33,22.04,465.69,56,0,1,0,0,1,0,0,MiddleRisk
14012621,300,59.1642857142857,45.0,299.37,10.91,339.67,0,0,1,1,0,0,0,0,MiddleRisk
14012624,400,57.1834482758621,60.0,395.15,14.52,443.94,0,0,1,1,0,0,0,0,MiddleRisk
14012636,500,34.88,0.16,0.16,0.0,0.16,0,1,0,1,0,0,0,0,MiddleRisk
14012557,300,18.6202777777778,45.0,279.97,6.52,286.49,0,1,0,1,0,0,0,0,MiddleRisk
14012558,300,115.598,45.0,226.76,4.39,231.15,0,1,0,1,0,0,0,0,MiddleRisk
14012564,300,33.936,45.0,297.47,33.76,511.55,56,0,1,0,0,1,0,0,MiddleRisk
14012565,300,148.747,45.0,300.0,21.6,442.3,56,0,1,0,0,1,0,0,MiddleRisk
